station,year,month,day,lon,lat,elevation,tmpf,dwpf,relh,feel,alti,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,p01m_tmrw
0,2022,3,1,-103.995,41.5117,1602.91,48.31666667,22.2625,36.06083333,42.79791667,30.12291667,1018.375,0,10,0,0,0,5500,5791.666667,6000,0
0,2022,3,2,-103.995,41.5117,1602.91,50.0826087,27.4173913,43.75,45.88608696,30.14869565,1018.413043,0,10,0,0,0,10478.26087,6391.304348,6000,0
0,2022,3,3,-103.995,41.5117,1602.91,51.925,22.11666667,33.4425,48.79833333,30.06875,1015.2125,0,10,0,0,0,6666.666667,5791.666667,6000,0
0,2022,3,4,-103.995,41.5117,1602.91,45.725,23.54583333,48.08833333,40.51458333,29.8075,1007.333333,0,9.916666667,0,0,0,13583.33333,5812.5,6000,0
0,2022,3,5,-103.995,41.5117,1602.91,25.50833333,21.15,84.5725,12.51791667,29.75166667,1009.058333,0,3.86,0,0,0,2275,3920.833333,5204.166667,0
0,2022,3,6,-103.995,41.5117,1602.91,14.80416667,10.81666667,83.91458333,0.01125,30.00083333,1023.191667,0,6.750416667,0,0,0,3737.5,4225,5620.833333,0
0,2022,3,7,-103.995,41.5117,1602.91,12.175,4.0875,70.65916667,-2.411666667,30.14,1029.220833,0,9.791666667,0,0,0,3475,5033.333333,6000,0
0,2022,3,8,-103.995,41.5117,1602.91,18.91666667,8.583333333,63.60583333,4.9275,29.97333333,1021.875,0,9.958333333,0,0,0,3862.5,4837.5,6000,0
0,2022,3,9,-103.995,41.5117,1602.91,9.954166667,5.454166667,81.66208333,-4.443333333,29.92041667,1020.816667,0,2.765833333,0,0,0,1712.5,3654.166667,5662.5,0
0,2022,3,10,-103.995,41.5117,1602.91,0.235294118,-5.105882353,77.90529412,-10.62823529,29.97411765,1025.958824,0,7.735294118,0,0,0,4017.647059,5441.176471,6000,0
0,2022,3,11,-103.995,41.5117,1602.91,10.47916667,-0.516666667,60.62166667,-7.3675,30.07666667,1024.566667,0,10,0,0,0,4375,5000,6000,0
0,2022,3,12,-103.995,41.5117,1602.91,30.02916667,18.07916667,61.46541667,17.04833333,30.0225,1021.433333,0,10,0,0,0,5625,5000,6000,0
0,2022,3,13,-103.995,41.5117,1602.91,43.2625,21.3625,43.27791667,36.16416667,29.86041667,1010.9625,0,10,0,0,0,4625,5333.333333,6458.333333,0
0,2022,3,14,-103.995,41.5117,1602.91,38.67916667,24.04166667,58.63666667,28.35833333,30.02291667,1016.533333,0,10,0,0,0,6154.166667,7308.333333,6000,0
0,2022,3,15,-103.995,41.5117,1602.91,44.49583333,17.75416667,40.15291667,39.20375,30.11541667,1019.4375,0,10,0,0,0,4333.333333,5000,6000,0
0,2022,3,16,-103.995,41.5117,1602.91,44.60454545,26.14090909,48.78909091,38.85954545,29.92545455,1011.422727,0,10,0,0,0,7318.181818,6204.545455,6000,1
0,2022,3,17,-103.995,41.5117,1602.91,32.87916667,28.20416667,84.16625,23.67791667,30.04125,1018.583333,1,5.38625,0,0,0,1645.833333,3675,6004.166667,0
0,2022,3,18,-103.995,41.5117,1602.91,31.2125,19.94583333,65.91791667,21.82791667,30.05125,1020.895833,0,9.958333333,0,0,0,3925,4929.166667,5937.5,0
0,2022,3,19,-103.995,41.5117,1602.91,40.77083333,21.8,49.95166667,33.79333333,30.02916667,1017.608333,0,10,0,0,0,4979.166667,5791.666667,6000,0
0,2022,3,20,-103.995,41.5117,1602.91,46.70416667,18.77083333,37.7075,42.32458333,29.82333333,1008.5125,0,10,0,0,0,11916.66667,5583.333333,6000,0
0,2022,3,21,-103.995,41.5117,1602.91,36.97916667,22.675,58.87583333,25.94708333,29.90958333,1012.2,0,9.875,0,0,0,5629.166667,6741.666667,6812.5,0
0,2022,3,22,-103.995,41.5117,1602.91,32.49583333,16.43333333,52.01416667,19.70083333,30.07458333,1021,0,10,0,0,0,4975,5750,6383.333333,0
0,2022,3,23,-103.995,41.5117,1602.91,35.61818182,15.45454545,49.93318182,24.54954545,30.075,1020.445455,0,10,0,0,0,4586.363636,5272.727273,6000,0
0,2022,3,24,-103.995,41.5117,1602.91,39.35555556,18.66666667,47.38611111,31.96722222,29.97833333,1015.227778,0,10,0,0,0,5277.777778,5000,6000,0
0,2022,3,25,-103.995,41.5117,1602.91,43.02173913,23.16521739,47.02434783,39.01217391,30.14521739,1018.634783,0,10,0,0,0,4713.043478,5413.043478,6369.565217,0
0,2022,3,26,-103.995,41.5117,1602.91,45.41666667,27.28333333,52.66625,42.36208333,30.00166667,1015.341667,0,10,0,0,0,6625,5791.666667,6000,0
0,2022,3,27,-103.995,41.5117,1602.91,41.8125,22.61666667,50.3275,34.5325,29.95583333,1013.583333,0,10,0,0,0,5916.666667,6083.333333,6000,0
0,2022,3,28,-103.995,41.5117,1602.91,54.06666667,20.8625,36.10291667,50.39958333,29.79416667,1006.308333,0,10,0,0,0,8791.666667,5000,6000,1
0,2022,3,29,-103.995,41.5117,1602.91,47.8625,28.17083333,54.68458333,42.36166667,29.55208333,996.8166667,1,8.635416667,0,0,0,8654.166667,6758.333333,7125,0
0,2022,3,30,-103.995,41.5117,1602.91,25.58333333,20.08333333,79.62208333,10.03666667,29.76666667,1011.045833,0,7.666666667,0,0,0,2625,4395.833333,5908.333333,0
0,2022,3,31,-103.995,41.5117,1602.91,32.7,16.76521739,54.97217391,24.70782609,29.76782609,1011.334783,0,10,0,0,0,4260.869565,5000,6000,0
0,2022,4,1,-103.995,41.5117,1602.91,39.55833333,27.9375,66.25875,31.95458333,29.83208333,1010.075,0,9.302083333,0,0,0,4791.666667,5125,6100,0
0,2022,4,2,-103.995,41.5117,1602.91,42.02727273,23.78181818,52.57954545,38.11818182,29.98,1015.713636,0,10,0,0,0,5886.363636,5204.545455,6000,0
0,2022,4,3,-103.995,41.5117,1602.91,43.34782609,18.96521739,40.80304348,37.10521739,29.96,1013.286957,0,10,0,0,0,6782.608696,5304.347826,6000,0
0,2022,4,4,-103.995,41.5117,1602.91,41.98333333,15.80833333,40.23583333,36.03875,29.80875,1009.545833,0,10,0,0,0,4916.666667,5333.333333,6000,0
0,2022,4,5,-103.995,41.5117,1602.91,41.10416667,23.825,56.06166667,33.20416667,29.55541667,998.7541667,0,8.3075,0,0,0,6858.333333,7600,6958.333333,0
0,2022,4,6,-103.995,41.5117,1602.91,32.41666667,9.933333333,38.99833333,18.72958333,29.96666667,1017.45,0,10,0,0,0,5100,5604.166667,6208.333333,0
0,2022,4,7,-103.995,41.5117,1602.91,34.23684211,15.4,48.99052632,21.33736842,30.24789474,1026.6,0,9.947368421,0,0,0,6252.631579,5973.684211,6131.578947,0
0,2022,4,8,-103.995,41.5117,1602.91,38.85416667,11.91666667,35.545,31.54333333,30.22166667,1022.3875,0,10,0,0,0,4000,5000,6000,0
0,2022,4,9,-103.995,41.5117,1602.91,53.925,18.2125,25.88541667,50.78041667,29.77208333,1005.3875,0,10,0,0,0,11062.5,6270.833333,6000,1
0,2022,4,10,-103.995,41.5117,1602.91,37.48333333,22.625,61.37791667,27.90583333,29.68041667,1003.704167,1,8.14125,0,0,0,4770.833333,6116.666667,6241.666667,0
0,2022,4,11,-103.995,41.5117,1602.91,36.53333333,15.77083333,49.81375,30.13791667,29.685,1006.716667,0,10,0,0,0,9041.666667,5645.833333,6166.666667,0
0,2022,4,12,-103.995,41.5117,1602.91,39.37083333,17.37083333,42.72208333,29.92375,29.36625,993.2875,0,10,0,0,0,10079.16667,8050,7704.166667,0
0,2022,4,13,-103.995,41.5117,1602.91,19.4,3.329166667,52.27583333,4.481666667,29.77541667,1013.2875,0,10,0,0,0,5729.166667,6250,6000,0
0,2022,4,14,-103.995,41.5117,1602.91,26.22916667,7.570833333,48.81625,15.48458333,29.85541667,1016.041667,0,10,0,0,0,7020.833333,6020.833333,6062.5,0
0,2022,4,15,-103.995,41.5117,1602.91,31.12083333,12.90416667,48.41458333,23.59875,29.83041667,1012.570833,0,10,0,0,0,5516.666667,5300,6000,0
0,2022,4,16,-103.995,41.5117,1602.91,32.39583333,17.85416667,57.87291667,22.77458333,30.04583333,1020.329167,0,10,0,0,0,5737.5,4900,6004.166667,0
0,2022,4,17,-103.995,41.5117,1602.91,42.60416667,18.32916667,41.76083333,35.91416667,29.94583333,1014.325,0,9.916666667,0,0,0,5583.333333,5241.666667,6541.666667,0
0,2022,4,18,-103.995,41.5117,1602.91,36.73333333,16.20833333,45.65208333,30.66958333,30.25041667,1025.279167,0,9.958333333,0,0,0,5541.666667,5562.5,6000,0
0,2022,4,19,-103.995,41.5117,1602.91,50.98333333,24.14583333,45.87333333,44.73583333,29.77,1006.270833,0,10,0,0,0,6708.333333,5000,6000,0
0,2022,4,20,-103.995,41.5117,1602.91,53.47083333,19.2375,28.5325,50.60833333,29.73416667,1002.725,0,10,0,0,0,7916.666667,6291.666667,6000,0
0,2022,4,21,-103.995,41.5117,1602.91,51.89583333,23.47083333,36.26958333,49.15958333,29.94791667,1011.35,0,10,0,0,0,4770.833333,5000,6000,0
0,2022,4,22,-103.995,41.5117,1602.91,63.72916667,39.375,54.17541667,62.84458333,29.65041667,998.775,0,8.140416667,0,0,0,3225,5000,6000,1
0,2022,4,23,-103.995,41.5117,1602.91,38.58333333,31.85416667,80.07458333,27.17125,29.52583333,997.4125,1,5.51125,0,0,0,3116.666667,4858.333333,6350,0
0,2022,4,24,-103.995,41.5117,1602.91,36.1,25.65,67.68291667,23.6775,29.99625,1017.616667,0,9.708333333,0,0,0,4087.5,5433.333333,6062.5,0
0,2022,4,25,-103.995,41.5117,1602.91,30.825,18.38125,61.731875,22.391875,30.2675,1027.26875,0,10,0,0,0,6312.5,5000,6000,0
0,2022,4,26,-103.995,41.5117,1602.91,46.38181818,18.27272727,38.68727273,40.99545455,30.13181818,1016.177273,0,10,0,0,0,4863.636364,5000,6000,0
0,2022,4,27,-103.995,41.5117,1602.91,49.80666667,19.48,30.72733333,45.65533333,29.93933333,1010.286667,0,10,0,0,0,7400,5000,6000,0
0,2022,4,28,-103.995,41.5117,1602.91,51.42608696,31.37391304,49.43782609,48.77826087,29.85869565,1009.356522,0,10,0,0,0,6934.782609,5000,6000,1
0,2022,4,29,-103.995,41.5117,1602.91,50.27916667,36.0375,63.62833333,48.76166667,29.67916667,1001.4875,1,9.036666667,0,0,0,6316.666667,8120.833333,6083.333333,0
0,2022,4,30,-103.995,41.5117,1602.91,42.82608696,28.43043478,60.06043478,33.36782609,29.95695652,1013.252174,0,10,0,0,0,3252.173913,5526.086957,6043.478261,0
0,2022,5,1,-103.995,41.5117,1602.91,43.60416667,26.49583333,54.42791667,39.80625,30.00375,1015.3125,0,10,0,0,0,6166.666667,5000,6000,1
0,2022,5,2,-103.995,41.5117,1602.91,36.12083333,29.74166667,80.60916667,29.235,29.97875,1015.091667,1,5.859166667,0,0,0,2266.666667,4670.833333,5783.333333,0
0,2022,5,3,-103.995,41.5117,1602.91,31.4625,29.51666667,92.46166667,20.59541667,29.92041667,1015.9625,0,5.035833333,0,0,0,670.8333333,4875,6000,1
0,2022,5,4,-103.995,41.5117,1602.91,39.99166667,36.13333333,86.5825,33.14125,29.95208333,1015.116667,1,7.270833333,0,0,0,1470.833333,4712.5,5962.5,0
0,2022,5,5,-103.995,41.5117,1602.91,46.82608696,38.94782609,76.73608696,43.89869565,30.00434783,1014.83913,0,8.836956522,0,0,0,2647.826087,4534.782609,5817.391304,0
0,2022,5,6,-103.995,41.5117,1602.91,57.6625,36.67083333,51.94666667,55.46958333,29.86916667,1007.675,0,10,0,0,0,9041.666667,6500,6000,0
0,2022,5,7,-103.995,41.5117,1602.91,61.85,35.92083333,40.52708333,61.58333333,29.73125,1001.470833,0,10,0,0,0,11375,6333.333333,6000,0
0,2022,5,8,-103.995,41.5117,1602.91,52.95,36.67083333,55.78541667,50.73333333,29.64166667,999.3875,0,10,0,0,0,6995.833333,7812.5,6416.666667,1
0,2022,5,9,-103.995,41.5117,1602.91,47.15833333,36.55833333,72.10875,42.48791667,29.5325,997.3625,1,9.40625,0,0,0,1870.833333,4716.666667,6083.333333,0
0,2022,5,10,-103.995,41.5117,1602.91,49.40833333,21.59166667,35.02375,46.32666667,29.97625,1012.6875,0,10,0,0,0,4687.5,5437.5,6000,0
